date,momentum_12m,momentum_6m,momentum_3m,reversal_1m,volatility_3m,volatility_1m,size,value,profitability,quality,roe,growth,earnings_yield,leverage,liquidity
2015-01-07,0.01003813503546811,0.0023998577449389578,0.00027518304240915954,-0.01470678111785467,0.0017143551536732502,-0.003654261148838299,0.014293914561802417,-0.008056694807187919,0.00715090576467251,0.0049101118742070115,0.006546505090545248,-0.012621461733996663,-0.0029977562881075125,-0.011429204228438385,0.0054992217924459815
2015-01-08,0.002945683192981675,0.002804821999073469,-0.0009876034359094996,0.013365573463156817,0.00042123894971019893,-0.0012103292676572753,-0.0020402699702317356,0.001932956342637883,-0.00393643928598962,0.002900426664881097,-0.003474230812974599,-0.0004754129307396396,-0.015029079101432563,-0.00881635871056844,0.0012408912578204998
2015-01-09,0.005793245300750614,0.00840995667592405,0.010061897569446874,0.010833135089872378,-0.008471563984942023,-0.005691300632222699,-0.010050641034243484,0.00879256487116794,-0.007318229677157133,-0.006450270218248776,-0.006569126569044629,0.0018587508898840056,-0.0047356556972610615,0.0025497688846948165,-0.005754271320970026
2015-01-12,0.0009133206533335856,0.007114471611965501,0.009226681637445755,0.005662407582940351,-0.020909309981775946,-0.02365241519746992,7.911494641873844e-05,0.003854680554007932,-0.0027872578100677178,0.0001425427097047037,-0.0030212912497526705,0.003730827316546944,-0.00013132474105874512,0.0014782854634417203,0.0004604798604728212
2015-01-13,-0.0012261638838999677,0.006352667599841725,-0.003142291904801522,0.0024761211394998305,-0.005912867467812102,-0.006634176511815543,-0.00017744622525506844,-0.00045118774355231567,0.0005879314573007475,0.0051385768553213924,0.002481064060150356,-0.0016250607176655175,0.0021436213585988395,-3.9387887228456604e-05,0.0013465922489256672
2015-01-14,-0.0059018922890211566,-0.014977427132062581,-0.013525767200099747,-0.0010300755657069007,-0.01349483026705986,-0.011145806467827198,0.00991351764647286,-0.0024007775504162193,-0.016149181204968954,0.006694558019480901,-0.00841546831787602,0.007178545134921459,0.00995590610724448,0.009528611487298918,-0.005717098263893901
2015-01-15,0.00041749040423153666,-0.0020737498687380847,-0.003643888093837623,-0.01053291294658853,0.01517832627639851,0.012480184489514504,0.004928791743139255,-0.010674629608082764,0.004786997728168062,0.002309160292610201,0.0028067007172840573,-0.005841978662278624,0.010444012617665555,0.004802398968204766,0.007283399799861626
2015-01-16,0.017894297959784387,0.015807523382969528,0.017031700251556335,0.015029808153205215,0.0015256214727109073,0.0007234350927645787,0.01244389733517226,-0.004868085545218125,0.014838853610680984,0.007665803766367749,0.015619447481483875,-0.008847564378236215,-0.005875579444100987,-0.015882086797501915,0.008641981039014862
2015-01-20,-0.004171703205454861,-0.011543793897911487,-0.008175271373375476,-0.00602154643156039,0.00042017213139634337,0.0021954467739213205,0.004362834662342736,-0.0011001657945649231,0.0017605014986843209,-0.0006286125373253207,0.004020365154436101,-0.003025545475957479,0.009191184126210809,0.0027820525045492792,0.0027671861925151822
2015-01-21,0.0013201340854152935,0.008858820416597302,0.0029446566870586117,0.0008899976987916981,0.0015776377006484488,-0.0007235656082386268,-0.0016533305184229172,-4.287611061653748e-05,-0.005838196294491343,-0.008937057094517796,0.0006103249252871132,0.0009824308371528638,-0.005682579656283226,0.005491364239147053,0.003302903264096964
